recipe_id,recipe_name,receipe_alt_name,instructions,section id,section_name,ingrediant_row_id,ingrediant_id,ingrediant_name,ingrediant_qty,measure_unit,pack_type,pack_qty,to_order_unit_qty
29,עוף קונג פאו,,tbd,1,מנה,430,151,MSG,1,גרם,גרם,10,0.1
9,"ביצה עלומה, האש בראון ובייקון בקרמל",,tbd,2,האש בראון,107,1,אבקת אפייה,2.5,גרם,אריזה,10,0.25
20,שרימפס פריך ברוטב גריביש,,tbd,2,ציפוי,260,1,אבקת אפייה,3,גרם,אריזה,10,0.3
15,טארט בורדלו,Tarte Bourdaloue,tbd,2,בצק,191,2,אבקת סוכר,40,גרם,אריזה,100,0.4
16,טארט לימון,,tbd,2,בצק,209,2,אבקת סוכר,40,גרם,אריזה,100,0.4
15,טארט בורדלו,Tarte Bourdaloue,tbd,3,מלית,196,2,אבקת סוכר,100,גרם,אריזה,100,1
33,מוס שוקולד,,tbd,2,מרנג,472,2,אבקת סוכר,200,גרם,אריזה,100,2
47,ואשראן,,tbd,1,מרנג,663,2,אבקת סוכר,180,גרם,אריזה,100,1.8
15,טארט בורדלו,Tarte Bourdaloue,tbd,3,מלית,197,3,אבקת שקדים,100,גרם,אריזה,100,1
8,ביצים בנוסח פלורנטין,,tbd,2,בורנאי: בשמל + פרמז׳ן,96,4,אגוז מוסקט,1,קורט,אריזה,50,0.02
14,קיש לוריין,Quiche Lorraine,tbd,3,מלית,187,4,אגוז מוסקט,1,קורט,אריזה,50,0.02
34,טורטליני דלעת צלויה בחמאת מרווה,,tbd,2,מלית,488,4,אגוז מוסקט,1,גרם,אריזה,50,0.02
39,ניוקי פריזאי עם ירקות ירוקים,,tbd,1,מתכון,540,4,אגוז מוסקט,1,גרם,אריזה,50,0.02
12,סלט ירוק עם ויניגרט עשבים,,tbd,1,מתכון,144,5,אגוזי פקאן קלויים,50,גרם,אריזה,100,0.5
12,סלט ירוק עם ויניגרט עשבים,,tbd,1,מתכון,143,6,אגס,2,יחידה,יחידה,1,2
15,טארט בורדלו,Tarte Bourdaloue,tbd,4,אגסים בסירופ,201,6,אגס,3,יחידה,יחידה,1,3
45,"טארט עגבניות, זיתים ודג כבוש",,tbd,3,סלט,626,165,אורוגולה,8,עלה,אריזה,200,0.04
13,סלט מג׳דרה,,tbd,2,אורז,160,7,אורז בסמטי,100,גרם,אריזה,1000,0.1
30,אורז יסמין,,"מרתיחים מים בסיר
מכניסים אורז, מערבבים, מכסים.
מבשלים על אש קטנה מאוד ל20 דקות.
מורידים מהאש, מערבבים ומכסים ונותנים לנוח כמה דקות.",1,מתכון,431,152,אורז יסמין,200,גרם,אריזה,1000,0.2
31,ריזוטו לבן עם פטריות,,tbd,1,ריזוטו,435,153,אורז ריזוטו,100,גרם,אריזה,1000,0.1
32,ריזוטו אדום עם קלמרי,,tbd,1,מתכון,454,156,אורז ריזוטו,100,גרם,אריזה,1000,0.1
21,ספרינג רול ויאטנמי,,tbd,2,מלית,278,8,אטריות שעועית,50,גרם,אריזה,250,0.2
15,טארט בורדלו,Tarte Bourdaloue,tbd,3,מלית,199,9,אמרטו,10,גרם,בקבוק,750,0.01333333333
26,"אנטריקוט צלוי, רוטב פלפל ותפוחי אדמה",,tbd,1,מתכון,362,10,אנטריקוט,250,גרם,במשקל,250,1
11,סלט ניסואז,Salade Nicoise,tbd,1,מתכון,132,11,אנשובי,2,יחידה,אריזה,60,0.03333333333
24,פילה בקר בחוט,,tbd,1,מתכון,338,12,אספרגוס,2,יחידה,יחידה,1,2
36,פטוצ׳יני חציר וקש,,tbd,1,מתכון,519,166,אפונה,100,גרם,אריזה,200,0.5
32,ריזוטו אדום עם קלמרי,,tbd,1,מתכון,462,162,אפונה מבושלת,40,גרם,אריזה,200,0.2
39,ניוקי פריזאי עם ירקות ירוקים,,tbd,2,הגשה,545,167,אפונת שלג,7,יחידה,אריזה,200,0.035
22,סלט שרימפס ופומלה,,tbd,2,סלט,305,13,בוטנים טבעיים,4,כף,אריזה,100,0.04
28,עוף בקארי מאסמן,,tbd,1,מתכון,400,142,בוטנים קלויים,2,גרם,אריזה,100,0.02
28,עוף בקארי מאסמן,,tbd,2,הגשה,411,144,בוטנים קלויים,5,גרם,אריזה,100,0.05
29,עוף קונג פאו,,tbd,1,מנה,426,159,בוטנים קלויים,70,גרם,אריזה,100,0.7
1,סלט בורגול ועשבים,טבולה,tbd,1,מתכון,1,14,בורגול דק,30,גרם,אריזה,500,0.06
2,רטטוי,Ratatouille,tbd,1,מתכון,28,15,בזיליקום,1,גבעול,צרור,20,0.05
8,ביצים בנוסח פלורנטין,,tbd,2,בורנאי: בשמל + פרמז׳ן,100,15,בזיליקום,1,גבעול,צרור,20,0.05
21,ספרינג רול ויאטנמי,,tbd,4,הגשה,294,16,בזיליקום תאילנדי,10,גבעול,צרור,20,0.5
40,ביף בורגיניון,,tbd,4,תוספות,572,17,בייקון,40,גרם,במשקל,100,0.4
36,פטוצ׳יני חציר וקש,,tbd,1,מתכון,520,17,בייקון,70,גרם,במשקל,100,0.7
14,קיש לוריין,Quiche Lorraine,tbd,3,מלית,180,17,בייקון,100,גרם,במשקל,100,1
9,"ביצה עלומה, האש בראון ובייקון בקרמל",,tbd,4,בייקון בקרמל,116,17,בייקון,200,גרם,במשקל,200,1
9,"ביצה עלומה, האש בראון ובייקון בקרמל",,tbd,2,האש בראון,105,18,ביצה,1,יחידה,מגש,12,0.08333333333
11,סלט ניסואז,Salade Nicoise,tbd,1,מתכון,128,18,ביצה,1,יחידה,מגש,12,0.08333333333
15,טארט בורדלו,Tarte Bourdaloue,למתכון 35 גרם ביצה,2,בצק,192,18,ביצה,1,יחידה,מגש,12,0.08333333333
15,טארט בורדלו,Tarte Bourdaloue,למתכון - 60 גרם ביצה,3,מלית,200,18,ביצה,1,יחידה,מגש,12,0.08333333333
16,טארט לימון,,למתכון 35 גרם ביצה,2,בצק,210,18,ביצה,1,יחידה,מגש,12,0.08333333333
16,טארט לימון,,במתכון - 1 חלמון (בנוסף לביצים אם יש),3,מלית,215,18,ביצה,1,יחידה,מגש,12,0.08333333333
20,שרימפס פריך ברוטב גריביש,,במתכון - 1 חלמון (בנוסף לביצים אם יש),3,מיונז,262,18,ביצה,1,יחידה,מגש,12,0.08333333333
34,טורטליני דלעת צלויה בחמאת מרווה,,במתכון חלמון אחד,2,מלית,485,18,ביצה,1,יחידה,מגש,12,0.08333333333
35,כרבולות תרנגול בתפו״א ומנטה,,tbd,3,מלית,507,18,ביצה,1,יחידה,מגש,12,0.08333333333
46,ביף וולינגטון,,tbd,1,מתכון,632,18,ביצה,1,יחידה,מגש,12,0.08333333333
8,ביצים בנוסח פלורנטין,,tbd,1,מתכון,87,18,ביצה,2,יחידה,מגש,12,0.1666666667
10,קרם קרמל,,tbd,1,מתכון,123,18,ביצה,2,יחידה,מגש,12,0.1666666667
14,קיש לוריין,Quiche Lorraine,tbd,3,מלית,183,18,ביצה,2,יחידה,מגש,12,0.1666666667
16,טארט לימון,,tbd,3,מלית,216,18,ביצה,2,יחידה,מגש,12,0.1666666667
33,מוס שוקולד,,במתכון - 2 חלמונים (בנוסף לביצים אם יש),1,מתכון,468,18,ביצה,2,יחידה,מגש,12,0.1666666667
34,טורטליני דלעת צלויה בחמאת מרווה,,tbd,1,בצק פסטה,477,18,ביצה,2,יחידה,מגש,12,0.1666666667
35,כרבולות תרנגול בתפו״א ומנטה,,tbd,2,בצק פסטה ירוק,501,18,ביצה,2,יחידה,מגש,12,0.1666666667
37,בצק רבוך,,tbd,1,מתכון,529,18,ביצה,2,יחידה,מגש,12,0.1666666667
39,ניוקי פריזאי עם ירקות ירוקים,,במתכון ביצה + חלמון,1,מתכון,543,18,ביצה,2,יחידה,מגש,12,0.1666666667
46,ביף וולינגטון,,במתכון ביצה + חלמון,3,קרפ,642,18,ביצה,2,יחידה,מגש,12,0.1666666667
24,פילה בקר בחוט,,במתכון - 3 חלמונים (בנוסף לביצים אם יש),2,רוטב ברנייז Bearnaise,340,18,ביצה,3,יחידה,מגש,12,0.25
